Country,player_name,year
China,Awoke,2011
China,Kabu,2011
China,DD,2011
China,Hao,2011
China,Faith,2011
China,SanSheng,2011
China,Zhou,2011
China,xiao8,2011
China,Ferrari_430,2011
China,820,2011
China,QQQ,2011
China,X!!,2011
China,LaNm,2011
China,SJQ,2011
China,insence,2011
China,ksssssss,2011
China,Banana,2011
China,Yao,2011
China,seaking,2011
Denmark,MiSeRy,2011
Denmark,MaNia,2011
Denmark,PlaymatE,2011
Denmark,Maelk,2011
Denmark,syndereN,2011
Denmark,AngeL,2011
Denmark,MiGGel,2011
Denmark,Ryze,2011
Denmark,eatenfish,2011
Russia,LighTofHeaveN,2011
Russia,Azen,2011
Russia,NS,2011
Russia,Dread,2011
Russia,ARS-ART,2011
Russia,Santa,2011
Russia,God,2011
France,Maldejambes,2011
France,VladTepes,2011
France,Sockshka,2011
France,Pseudo,2011
France,Ph0eniX,2011
Malaysia,SilverCross,2011
Malaysia,Net,2011
Malaysia,Sharky,2011
Malaysia,xiaoling,2011
Malaysia,kYxY,2011
Singapore,Hyhy,2011
Singapore,Xy-,2011
Singapore,ToFu,2011
Singapore,Chawy,2011
Singapore,Roy,2011
Thailand,13nu,2011
Thailand,TnK,2011
Thailand,LaKelz,2011
Thailand,Lookball,2011
Thailand,aabBAA,2011
Philippines,Wootz,2011
Philippines,Julz,2011
Philippines,John,2011
Philippines,Owa,2011
Philippines,VASH,2011
Ukraine,Artstyle,2011
Ukraine,Dendi,2011
Ukraine,XBOCT,2011
Germany,KuroKy,2011
Germany,Kebap,2011
Germany,Kev-,2011
Czech Republic,CraNich,2011
Czech Republic,lacek,2011
Czech Republic,Tonci,2011
United States,DeMoN,2011
United States,Fear,2011
Sweden,Pajkatt,2011
Sweden,Mirakel,2011
Slovakia,Tulex,2011
Slovakia,Warlog,2011
Canada,1437,2011
Croatia,Lacoste,2011
Estonia,Puppey,2011
Macau,DDC,2011
Romania,ComeWithMe,2011
China,BurNIng,2012
China,Super,2012
China,rOtk,2012
China,Zippo,2012
China,LongDD,2012
China,LaNm,2012
China,KingJ,2012
China,PCT,2012
China,X!!,2012
China,QQQ,2012
China,Zhou,2012
China,Ferrari_430,2012
China,YYF,2012
China,Faith,2012
China,Sylar,2012
China,xiao8,2012
China,Yao,2012
China,DD,2012
China,Hao,2012
China,Mu,2012
China,Kabu,2012
China,Awoke,2012
China,SanSheng,2012
Russia,LighTofHeaveN,2012
Russia,ARS-ART,2012
Russia,God,2012
Russia,Silent,2012
Russia,Admiration,2012
Russia,Vigoss,2012
Russia,PGG,2012
Russia,Bloodangel,2012
United States,Fear,2012
United States,BuLba,2012
United States,DeMoN,2012
United States,UNiVeRsE,2012
United States,HANNAH_MONTANA,2012
United States,FLUFFNSTUFF,2012
United States,ixmike88,2012
Malaysia,YamateH,2012
Malaysia,Mushi,2012
Malaysia,WinteR,2012
Malaysia,XtiNcT,2012
Malaysia,Ice,2012
Malaysia,ChuaN,2012
Ukraine,XBOCT,2012
Ukraine,Dendi,2012
Ukraine,Artstyle,2012
Ukraine,Mag~,2012
Ukraine,Goblak,2012
Ukraine,Funn1k,2012
Sweden,Pajkatt,2012
Sweden,Mirakel,2012
Sweden,Akke,2012
Sweden,Loda,2012
Singapore,Hyhy,2012
Singapore,iceiceice,2012
Singapore,xFreedom,2012
Singapore,xy-,2012
Australia,blackshatan,2012
Australia,xMusiCa,2012
Australia,Godot,2012
Australia,Snoopy,2012
Canada,bLeeK,2012
Canada,1437,2012
Canada,TC,2012
Canada,Jeyo,2012
France,Sockshka,2012
France,Funzii,2012
France,7ckngMad,2012
Germany,Black^,2012
Germany,KuroKy,2012
Germany,Kebap,2012
Denmark,MiSeRy,2012
Denmark,Maelk,2012
Denmark,syndereN,2012
Netherlands,Singsing,2012
Netherlands,SexyBamboe,2012
Croatia,Lacoste,2012
Estonia,Puppey,2012
Macau,DDC,2012
China,Banana,2013
China,BurNIng,2013
China,DD,2013
China,Faith,2013
