Hero,times_picked,year
Vengeful Spirit,33,2011
Windrunner,29,2011
Earthshaker,28,2011
Beastmaster,24,2011
Mirana,22,2011
Ancient Apparition,21,2011
Weaver,21,2011
Lich,18,2011
Nature's Prophet,18,2011
Leshrac,91,2012
Venomancer,84,2012
Invoker,81,2012
Rubick,80,2012
Morphling,78,2012
Tidehunter,77,2012
Chen,66,2012
Lone Druid,60,2012
Nature's Prophet,55,2012
Enchantress,51,2012
Mirana,192,2014
Treant Protector,136,2014
Shadow Shaman,124,2014
Brewmaster,122,2014
Doom,122,2014
Shadow Demon,114,2014
Invoker,111,2014
Wraith King,110,2014
Razor,108,2014
Ancient Apparition,106,2014
Lina,32,2015
Dark Seer,21,2015
Gyrocopter,21,2015
Tusk,20,2015
Queen of Pain,20,2015
Dazzle,19,2015
Shadow Fiend,18,2015
Rubick,18,2015
Earthshaker,18,2015
Storm Spirit,18,2015
Mirana,81,2016
Batrider,71,2016
Shadow Demon,60,2016
Elder Titan,49,2016
Ogre Magi,49,2016
Faceless Void,48,2016
Oracle,48,2016
Timbersaw,47,2016
Drow Ranger,43,2016
Axe,37,2016
Juggernaut,37,2016
Beastmaster,35,2016
Kunkka,34,2016
Lifestealer,31,2016
Vengeful Spirit,30,2016
Io,29,2016
Keeper of the Light,29,2016
Dazzle,29,2016
Alchemist,29,2016
Sand King,28,2016
Slardar,28,2016
Nyx Assassin,26,2016
Morphling,25,2016
Naga Siren,25,2016
Slark,25,2016
Bounty Hunter,24,2016
Huskar,20,2016
Invoker,20,2016
Razor,19,2016
Terrorblade,18,2016
Enchantress,17,2016
Rubick,16,2016
Sven,16,2016
Death Prophet,16,2016
Tidehunter,16,2016
Earth Spirit,16,2016
Ursa,15,2016
Riki,15,2016
Lion,15,2016
Dark Seer,15,2016
Chen,14,2016
Ember Spirit,14,2016
Skywrath Mage,14,2016
Disruptor,13,2016
Storm Spirit,13,2016
Undying,12,2016
Luna,12,2016
Witch Doctor,12,2016
Night Stalker,11,2016
Dragon Knight,11,2016
Medusa,10,2016
Lich,10,2016
Templar Assassin,10,2016
Tinker,10,2016
Phantom Assassin,9,2016
Winter Wyvern,9,2016
Anti-Mage,9,2016
Phantom Lancer,8,2016
Nature's Prophet,8,2016
Queen of Pain,8,2016
Lone Druid,7,2016
Shadow Shaman,7,2016
Warlock,7,2016
Legion Commander,7,2016
Bristleback,6,2016
Puck,6,2016
Silencer,6,2016
Ancient Apparition,5,2016
Magnus,5,2016
Spirit Breaker,5,2016
Venomancer,5,2016
Tiny,5,2016
Phoenix,5,2016
Abaddon,4,2016
Broodmother,4,2016
Bane,4,2016
Crystal Maiden,4,2016
Lycan,4,2016
Weaver,4,2016
Viper,3,2016
Brewmaster,3,2016
Clinkz,3,2016
Enigma,3,2016
Pudge,3,2016
Chaos Knight,2,2016
Outworld Destroyer,2,2016
Zeus,2,2016
Doom,2,2016
Gyrocopter,2,2016
Tusk,2,2016
Windranger,2,2016
Centaur Warrunner,1,2016
Shadow Fiend,1,2016
Spectre,1,2016
