player_name,team_name,year,role
Artstyle,Natus Vincere,2011,player
Dendi,Natus Vincere,2011,player
XBOCT,Natus Vincere,2011,player
Puppey,Natus Vincere,2011,player
LighTofHeaveN,Natus Vincere,2011,player
McDee,Natus Vincere,2011,other
Zhou,EHOME,2011,player
Ferrari_430,EHOME,2011,player
xiao8,EHOME,2011,player
SanSheng,EHOME,2011,player
DDC,EHOME,2011,player
nanGua,EHOME,2011,other
Hyhy,Scythe Gaming,2011,player
Xy-,Scythe Gaming,2011,player
ToFu,Scythe Gaming,2011,player
Chawy,Scythe Gaming,2011,player
Roy,Scythe Gaming,2011,player
iceiceice,Scythe Gaming,2011,other
Zhou,Invictus Gaming,2012,player
Ferrari_430,Invictus Gaming,2012,player
YYF,Invictus Gaming,2012,player
ChuaN,Invictus Gaming,2012,player
Faith,Invictus Gaming,2012,player
XBOCT,Natus Vincere,2012,player
Dendi,Natus Vincere,2012,player
LighTofHeaveN,Natus Vincere,2012,player
Puppey,Natus Vincere,2012,player
ARS-ART,Natus Vincere,2012,player
Sylar,LGD Gaming,2012,player
Xiao8,LGD Gaming,2012,player
Yao,LGD Gaming,2012,player
DD,LGD Gaming,2012,player
DDC,LGD Gaming,2012,player
Loda,Alliance,2013,player
s4,Alliance,2013,player
AdmiralBulldog,Alliance,2013,player
EGM,Alliance,2013,player
Akke,Alliance,2013,player
XBOCT,Natus Vincere,2013,player
Dendi,Natus Vincere,2013,player
Funn1k,Natus Vincere,2013,player
Puppey,Natus Vincere,2013,player
KuroKy,Natus Vincere,2013,player
Mushi,Orange Esports,2013,player
kYxY,Orange Esports,2013,player
Ohaiyo,Orange Esports,2013,player
XtiNcT,Orange Esports,2013,player
Net,Orange Esports,2013,player
Hao,Newbee,2014,player
Mu,Newbee,2014,player
xiao8,Newbee,2014,player
Banana,Newbee,2014,player
SanSheng,Newbee,2014,player
Mikasa,Newbee,2014,other
Sylar,Vici Gaming,2014,player
Super,Vici Gaming,2014,player
rOtk,Vici Gaming,2014,player
Fenrir,Vici Gaming,2014,player
fy,Vici Gaming,2014,player
QQQ,Vici Gaming,2014,other
mason,Evil Geniuses,2014,player
Arteezy,Evil Geniuses,2014,player
UNiVeRsE,Evil Geniuses,2014,player
zai,Evil Geniuses,2014,player
ppd,Evil Geniuses,2014,player
Fear,Evil Geniuses,2014,other
Fear,Evil Geniuses,2015,player
SumaiL,Evil Geniuses,2015,player
UNiVeRsE,Evil Geniuses,2015,player
Aui_2000,Evil Geniuses,2015,player
ppd,Evil Geniuses,2015,player
BuLba,Evil Geniuses,2015,other
Agressif,CDEC Gaming,2015,player
Shiki,CDEC Gaming,2015,player
Xz,CDEC Gaming,2015,player
Garder,CDEC Gaming,2015,player
Q,CDEC Gaming,2015,player
Sylar,LGD Gaming,2015,player
Maybe,LGD Gaming,2015,player
Yao,LGD Gaming,2015,player
xiao8,LGD Gaming,2015,player
MMY!,LGD Gaming,2015,player
shadow,Wings Gaming,2016,player
bLink,Wings Gaming,2016,player
Faith_bian,Wings Gaming,2016,player
y`,Wings Gaming,2016,player
iceice,Wings Gaming,2016,player
Resolut1on,Digital Chaos,2016,player
w33,Digital Chaos,2016,player
Moo,Digital Chaos,2016,player
Saksa,Digital Chaos,2016,player
MiSeRy,Digital Chaos,2016,player
Loomdun,Digital Chaos,2016,other
Fear,Evil Geniuses,2016,player
SumaiL,Evil Geniuses,2016,player
UNiVeRsE,Evil Geniuses,2016,player
zai,Evil Geniuses,2016,player
ppd,Evil Geniuses,2016,player
SVG,Evil Geniuses,2016,other
MATUMBAMAN,Team Liquid,2017,player
Miracle-,Team Liquid,2017,player
MinD_ContRoL,Team Liquid,2017,player
GH,Team Liquid,2017,player
KuroKy,Team Liquid,2017,player
Heen,Team Liquid,2017,other
Moogy,Newbee,2017,player
Sccc,Newbee,2017,player
kpii,Newbee,2017,player
Kaka,Newbee,2017,player
Faith,Newbee,2017,player
Monet,LGD.Forever Young,2017,player
Super,LGD.Forever Young,2017,player
Inflame,LGD.Forever Young,2017,player
Ahfu,LGD.Forever Young,2017,player
ddc,LGD.Forever Young,2017,player
Banana,LGD.Forever Young,2017,other
ana,OG,2018,player
Topson,OG,2018,player
Ceb,OG,2018,player
JerAx,OG,2018,player
N0tail,OG,2018,player
ppasarel,OG,2018,other
Ame,PSG.LGD,2018,player
Somnus丶M,PSG.LGD,2018,player
Chalice,PSG.LGD,2018,player
fy,PSG.LGD,2018,player
xNova,PSG.LGD,2018,player
QQQ,PSG.LGD,2018,other
rtz,Evil Geniuses,2018,player
SumaiL,Evil Geniuses,2018,player
s4,Evil Geniuses,2018,player
Cr1t-,Evil Geniuses,2018,player
Fly,Evil Geniuses,2018,player
BuLba,Evil Geniuses,2018,other
ana,OG,2019,player
Topson,OG,2019,player
Ceb,OG,2019,player
JerAx,OG,2019,player
N0tail,OG,2019,player
Sockshka,OG,2019,other
Miracle-,Team Liquid,2019,player
w33,Team Liquid,2019,player
MinD_ContRoL,Team Liquid,2019,player
GH,Team Liquid,2019,player
KuroKy,Team Liquid,2019,player
rmN-,Team Liquid,2019,other
Ame,PSG.LGD,2019,player
Somnus丶M,PSG.LGD,2019,player
Chalice,PSG.LGD,2019,player
fy,PSG.LGD,2019,player
xNova,PSG.LGD,2019,player
QQQ,PSG.LGD,2019,other
Yatoro,Team Spirit,2021,player
TORONTOTOKYO,Team Spirit,2021,player
Collapse,Team Spirit,2021,player
Mira,Team Spirit,2021,player
Miposhka,Team Spirit,2021,player
Silent,Team Spirit,2021,other
Ame,PSG.LGD,2021,player
NothingToSay,PSG.LGD,2021,player
Faith_bian,PSG.LGD,2021,player
XinQ,PSG.LGD,2021,player
y`,PSG.LGD,2021,player
xiao8,PSG.LGD,2021,other
MATUMBAMAN,Team Secret,2021,player
Nisha,Team Secret,2021,player
zai,Team Secret,2021,player
YapzOr,Team Secret,2021,player
Puppey,Team Secret,2021,player
Heen,Team Secret,2021,other
